Uuid,Void/Retire,Short name:en,Fully specified name:en,Short name:fr,Fully specified name:fr,Data class,Data Type,_version:1,_order:500
47454669-3aed-472a-b06b-4528b1b48720,,SALBUTAMOL,SALBUTAMOL,SALBUTAMOL,SALBUTAMOL,Drug,N/A,,
884bc29a-2c3b-4e11-9efa-6edb20bde4ab,,LIDOCAINE / SULFATE DE ZINC,LIDOCAINE / SULFATE DE ZINC,LIDOCAINE / SULFATE DE ZINC,LIDOCAINE / SULFATE DE ZINC,Drug,N/A,,
1031a3d5-49ae-4a8d-a14e-6ccd6bbaa2bb,,AMOXICILLINE,AMOXICILLINE,AMOXICILLINE,AMOXICILLINE,Drug,N/A,,
fb2406b7-e48a-4f00-be75-e8b969fdb391,,ACECLOFENAC,ACECLOFENAC,ACECLOFENAC,ACECLOFENAC,Drug,N/A,,
f5120c55-8b3a-471c-8b04-e6a4b8cf294e,,CETIRIZINE,CETIRIZINE,CETIRIZINE,CETIRIZINE,Drug,N/A,,
8914f835-eb1d-4a14-be39-36652c992231,,ALBENDAZOLE,ALBENDAZOLE,ALBENDAZOLE,ALBENDAZOLE,Drug,N/A,,
9e021446-2a15-4eb0-b7ea-d35be306bf69,,SPIRINOLACTONE / ALTIZIDE,SPIRINOLACTONE / ALTIZIDE,SPIRINOLACTONE / ALTIZIDE,SPIRINOLACTONE / ALTIZIDE,Drug,N/A,,
dbcfecb8-ea7f-4c8c-8fd7-5250d001865f,,SPIRINOLACTONE,SPIRINOLACTONE,SPIRINOLACTONE,SPIRINOLACTONE,Drug,N/A,,
2f6f376c-79ad-4d27-a2ab-c309f013bf3e,,METHYLDOPA,METHYLDOPA,METHYLDOPA,METHYLDOPA,Drug,N/A,,
de219de8-a7a1-4eae-a682-67fb4e724778,,METHYL DOPA,METHYL DOPA,METHYL DOPA,METHYL DOPA,Drug,N/A,,
0472f6a7-c049-43e9-a339-16b41b9b330f,,CEFACLOR,CEFACLOR,CEFACLOR,CEFACLOR,Drug,N/A,,
ed35c98b-adf1-4d4e-a324-bea92dcb3d3d,,ACIDE SALICYLIQUE / DIETHYLAMINE/M,ACIDE SALICYLIQUE / DIETHYLAMINE/M,ACIDE SALICYLIQUE / DIETHYLAMINE/M,ACIDE SALICYLIQUE / DIETHYLAMINE/M,Drug,N/A,,
3b239411-f164-41b7-88f8-92f86f8d05d7,,AZELASTINE,AZELASTINE,AZELASTINE,AZELASTINE,Drug,N/A,,
7d863547-81f8-44c8-b550-32ad203430d8,,PROMÉTHAZINE,PROMÉTHAZINE,PROMÉTHAZINE,PROMÉTHAZINE,Drug,N/A,,
9d6a835d-701b-4b34-8ca5-2138153542f4,,LODOXAMIDE,LODOXAMIDE,LODOXAMIDE,LODOXAMIDE,Drug,N/A,,
98290ebb-b2f0-4bd3-a497-cccd1ce1b900,,CETYLPYRIDINIUM / CHLOROBUTANOL,CETYLPYRIDINIUM / CHLOROBUTANOL,CETYLPYRIDINIUM / CHLOROBUTANOL,CETYLPYRIDINIUM / CHLOROBUTANOL,Drug,N/A,,
69e3f735-3a24-4fed-9fb3-6863a0382279,,ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM,Drug,N/A,,
4b222afd-66f6-4b84-9690-d89558600939,,HYDROXIDE ALUMINIUM ET MAGNESIU,HYDROXIDE ALUMINIUM ET MAGNESIU,HYDROXIDE ALUMINIUM ET MAGNESIU,HYDROXIDE ALUMINIUM ET MAGNESIU,Drug,N/A,,
51886064-eb4b-4b62-bc6a-308984597edc,,HYDROXIDE D'ALUMINIUM,HYDROXIDE D'ALUMINIUM,HYDROXIDE D'ALUMINIUM,HYDROXIDE D'ALUMINIUM,Drug,N/A,,
1d4ca2b3-acb0-4fac-9caa-db8400b16fc2,,MULTIVITAMINES,MULTIVITAMINES,MULTIVITAMINES,MULTIVITAMINES,Drug,N/A,,
4df5f81e-270f-4e01-9c58-6814e6e54527,,GLIMÉPIRIDE,GLIMÉPIRIDE,GLIMÉPIRIDE,GLIMÉPIRIDE,Drug,N/A,,
50d87393-c0e3-44d2-ba82-176f1d1d4483,,GLIMÉPIRIDE / METFORMINE,GLIMÉPIRIDE / METFORMINE,GLIMÉPIRIDE / METFORMINE,GLIMÉPIRIDE / METFORMINE,Drug,N/A,,
42eba5f8-7145-4d20-a83f-4b90b0d2306f,,AMBROXOL,AMBROXOL,AMBROXOL,AMBROXOL,Drug,N/A,,
ebdd14f6-4bcd-4543-9485-f962d17fe029,,AMLODIPINE,AMLODIPINE,AMLODIPINE,AMLODIPINE,Drug,N/A,,
59289fdf-a4b7-407a-b4b1-dded8e74cc6c,,MÉTRONIDAZOLE,MÉTRONIDAZOLE,MÉTRONIDAZOLE,MÉTRONIDAZOLE,Drug,N/A,,
24eef3e6-5ba1-4b66-85f4-6710faf12ea3,,FER / ACIDE FOLIQUE / VIT B12,FER / ACIDE FOLIQUE / VIT B12,FER / ACIDE FOLIQUE / VIT B12,FER / ACIDE FOLIQUE / VIT B12,Drug,N/A,,
bfe42773-d4af-49ba-a08e-c2d4d6300421,,ARTÉSUNATE / AMODIAQUINE,ARTÉSUNATE / AMODIAQUINE,ARTÉSUNATE / AMODIAQUINE,ARTÉSUNATE / AMODIAQUINE,Drug,N/A,,
81d11d0f-9307-48ab-b4bf-b3c4e1577a35,,AMOXICILLINE / ACIDE CLAVULANIQUE,AMOXICILLINE / ACIDE CLAVULANIQUE,AMOXICILLINE / ACIDE CLAVULANIQUE,AMOXICILLINE / ACIDE CLAVULANIQUE,Drug,N/A,,
9b134356-01fa-4359-b95a-ae673bcb560d,,AMPICILLINE,AMPICILLINE,AMPICILLINE,AMPICILLINE,Drug,N/A,,
33d04b9a-8405-4cd4-834f-3e3d299e9bca,,CLOMIPRAMINE,CLOMIPRAMINE,CLOMIPRAMINE,CLOMIPRAMINE,Drug,N/A,,
bc85a881-ba97-4738-a841-4b5c203319d8,,DITHRANOL / ICTHYOLAMMONIUM/ACI,DITHRANOL / ICTHYOLAMMONIUM/ACI,DITHRANOL / ICTHYOLAMMONIUM/ACI,DITHRANOL / ICTHYOLAMMONIUM/ACI,Drug,N/A,,
bed3d830-87ae-4cfe-b3a8-e001c7462690,,VIT B1 B6 B12,VIT B1 B6 B12,VIT B1 B6 B12,VIT B1 B6 B12,Drug,N/A,,
a6a1d032-9f22-47b5-b76e-2826e07fdbbf,,CYPROTÉRONE,CYPROTÉRONE,CYPROTÉRONE,CYPROTÉRONE,Drug,N/A,,
b4de0651-4d25-4025-b27b-54f117b38a06,,BACILLUS SUBTILIS,BACILLUS SUBTILIS,BACILLUS SUBTILIS,BACILLUS SUBTILIS,Drug,N/A,,
35ec8221-de6a-4468-b7de-6459e24f0547,,DEQUALINIUM / ENOXOLONE / HYDROC,DEQUALINIUM / ENOXOLONE / HYDROC,DEQUALINIUM / ENOXOLONE / HYDROC,DEQUALINIUM / ENOXOLONE / HYDROC,Drug,N/A,,
5d531910-f3ff-4648-b5e0-bfd86e57778d,,HEXETIDINE / CHLORBUTANOL,HEXETIDINE / CHLORBUTANOL,HEXETIDINE / CHLORBUTANOL,HEXETIDINE / CHLORBUTANOL,Drug,N/A,,
cef97e5f-1cac-4ed2-a388-0970f5f063bc,,FLURBIPROFEN,FLURBIPROFEN,FLURBIPROFEN,FLURBIPROFEN,Drug,N/A,,
a1ba1642-7e50-47fb-8854-e65c424ffdbc,,Fluocinolone / NEOMYCINE / POLYMYXIN  ,Fluocinolone / NEOMYCINE / POLYMYXIN  ,Fluocinolone / NEOMYCINE / POLYMYXIN  ,Fluocinolone / NEOMYCINE / POLYMYXIN  ,Drug,N/A,,
3be5743d-2e79-4e38-94c8-2af2cf126620,,PARACETAMOL                                                                            ,PARACETAMOL                                                                            ,PARACETAMOL                                                                            ,PARACETAMOL                                                                            ,Drug,N/A,,
569714d0-2362-42c3-8616-34ecab9d0a8c,,HYDROCORTISONE / NEOMYCINE / BENZ                   ,HYDROCORTISONE / NEOMYCINE / BENZ                   ,HYDROCORTISONE / NEOMYCINE / BENZ                   ,HYDROCORTISONE / NEOMYCINE / BENZ                   ,Drug,N/A,,
56eabddf-d0d0-4c30-8e79-423336469d70,,NIFUROXAZIDE,NIFUROXAZIDE,NIFUROXAZIDE,NIFUROXAZIDE,Drug,N/A,,
f4e0bc47-2b7b-4279-a68e-716e46ab42e3,,IRBESARTAN,IRBESARTAN,IRBESARTAN,IRBESARTAN,Drug,N/A,,
bbb0a404-97a5-4f00-b54e-261b377d5dd6,,VALSARTAN,VALSARTAN,VALSARTAN,VALSARTAN,Drug,N/A,,
215058c3-102d-4cc1-b724-b4dedf64669a,,ARGININE / THIAMINE / PYRIDOXINE,ARGININE / THIAMINE / PYRIDOXINE,ARGININE / THIAMINE / PYRIDOXINE,ARGININE / THIAMINE / PYRIDOXINE,Drug,N/A,,
375d43e2-67b1-44f9-9566-9b43036763af,,VITELINATE D'ARGENT,VITELINATE D'ARGENT,VITELINATE D'ARGENT,VITELINATE D'ARGENT,Drug,N/A,,
1f13c37e-543a-408e-9cf1-4836ce01c5cd,,ARTESUNATE / AMODIAQUINE,ARTESUNATE / AMODIAQUINE,ARTESUNATE / AMODIAQUINE,ARTESUNATE / AMODIAQUINE,Drug,N/A,,
a5b6e9ba-0e52-4c86-9388-7b86e9f67afd,,TRIHEXIPHENIDYLE,TRIHEXIPHENIDYLE,TRIHEXIPHENIDYLE,TRIHEXIPHENIDYLE,Drug,N/A,,
af19bfdb-1e13-4347-9574-5f32ec3b8990,,ARTEMETHER,ARTEMETHER,ARTEMETHER,ARTEMETHER,Drug,N/A,,
284d6fe0-be2b-4ab0-b0b0-48b79d50cb10,,ARTÉSUNATE / MÉFLOQUINE,ARTÉSUNATE / MÉFLOQUINE,ARTÉSUNATE / MÉFLOQUINE,ARTÉSUNATE / MÉFLOQUINE,Drug,N/A,,
65b18d57-2fbe-4ab9-9bcb-3df05b6f2fde,,ARTÉSUNATE,ARTÉSUNATE,ARTÉSUNATE,ARTÉSUNATE,Drug,N/A,,
c1835ab5-3f46-4d9c-bfcc-020a8f4322fa,,BENZOATE DE BENZYL / SULFIRAM              ,BENZOATE DE BENZYL / SULFIRAM              ,BENZOATE DE BENZYL / SULFIRAM              ,BENZOATE DE BENZYL / SULFIRAM              ,Drug,N/A,,
1e5a2af1-0eb6-4211-96c5-93ab6ff48a55,,SULFIRAME / BENZOATE DEBENZYLE / A                             ,SULFIRAME / BENZOATE DEBENZYLE / A                             ,SULFIRAME / BENZOATE DEBENZYLE / A                             ,SULFIRAME / BENZOATE DEBENZYLE / A                             ,Drug,N/A,,
c9352560-ccd5-4dc4-b4f4-3c1de11018ff,,CARBASALATE CALCIQUE                              ,CARBASALATE CALCIQUE                              ,CARBASALATE CALCIQUE                              ,CARBASALATE CALCIQUE                              ,Drug,N/A,,
08a93d9e-56cb-48b0-b32b-9410ba0aaca4,,CARBASALATE CALCIQUE                             ,CARBASALATE CALCIQUE                             ,CARBASALATE CALCIQUE                             ,CARBASALATE CALCIQUE                             ,Drug,N/A,,
5c8ab9c5-c6a7-418f-ba0a-02eb21ea02e4,,CARBASALATE CALCIQUE                           ,CARBASALATE CALCIQUE                           ,CARBASALATE CALCIQUE                           ,CARBASALATE CALCIQUE                           ,Drug,N/A,,
9222631d-f8b3-41b1-8f36-a21644801b56,,PROPACETAMOL                                             ,PROPACETAMOL                                             ,PROPACETAMOL                                             ,PROPACETAMOL                                             ,Drug,N/A,,
ac572b15-427a-4b60-9cc4-5615c2622d91,,ACIDE ACETYL SALICYLIQUE / ACIDE ASC  ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC  ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC  ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC  ,Drug,N/A,,
903bc86f-4d29-4b24-b695-58fb0bc91609,,ACETYL SALICYLIQUE DE  LYSINE               ,ACETYL SALICYLIQUE DE  LYSINE               ,ACETYL SALICYLIQUE DE  LYSINE               ,ACETYL SALICYLIQUE DE  LYSINE               ,Drug,N/A,,
8ffe9b6f-6c05-4fe3-a34c-07f82be9760e,,ACETYL SALICYLIQUE DE  LYSINE                ,ACETYL SALICYLIQUE DE  LYSINE                ,ACETYL SALICYLIQUE DE  LYSINE                ,ACETYL SALICYLIQUE DE  LYSINE                ,Drug,N/A,,
061feb6d-dbf0-4360-bce8-f7ed538ccb0d,,ACETYL SALICYLIQUE DE  LYSINE                  ,ACETYL SALICYLIQUE DE  LYSINE                  ,ACETYL SALICYLIQUE DE  LYSINE                  ,ACETYL SALICYLIQUE DE  LYSINE                  ,Drug,N/A,,
c9aa7eb9-ac59-4b09-ae3f-3d751e3084c1,,ACETYL SALICYLIQUE DE  LYSINE                 ,ACETYL SALICYLIQUE DE  LYSINE                 ,ACETYL SALICYLIQUE DE  LYSINE                 ,ACETYL SALICYLIQUE DE  LYSINE                 ,Drug,N/A,,
200e5303-2317-47c3-8690-6fd6ae3f31be,,ACETYL SALICYLATE DE  LYSINE                    ,ACETYL SALICYLATE DE  LYSINE                    ,ACETYL SALICYLATE DE  LYSINE                    ,ACETYL SALICYLATE DE  LYSINE                    ,Drug,N/A,,
da41f717-0b71-47ac-91a8-2ec8a1d8a695,,ACIDE ACETYL SALICYLIQUE                                                       ,ACIDE ACETYL SALICYLIQUE                                                       ,ACIDE ACETYL SALICYLIQUE                                                       ,ACIDE ACETYL SALICYLIQUE                                                       ,Drug,N/A,,
f995349a-b8ce-467f-a992-7240002c0c23,,ACIDE ACETYL SALICYLIQUE / ACIDE ASC             ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC             ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC             ,ACIDE ACETYL SALICYLIQUE / ACIDE ASC             ,Drug,N/A,,
1b524b68-83a8-451e-93e6-4d40d8b45b04,,ACIDE ACETYL SALICYLIQUE                                                      ,ACIDE ACETYL SALICYLIQUE                                                      ,ACIDE ACETYL SALICYLIQUE                                                      ,ACIDE ACETYL SALICYLIQUE                                                      ,Drug,N/A,,
a5f69f49-ef51-4f57-ac15-f66ecfdc181e,,FLUCLOXACILLINE                                          ,FLUCLOXACILLINE                                          ,FLUCLOXACILLINE                                          ,FLUCLOXACILLINE                                          ,Drug,N/A,,
2c5da536-c7f6-4665-ae0f-0030a6b2f43c,,FLUCLOXACILLINE                                                                                ,FLUCLOXACILLINE                                                                                ,FLUCLOXACILLINE                                                                                ,FLUCLOXACILLINE                                                                                ,Drug,N/A,,
9a4afb40-1a7f-4c60-9d63-bdf8d4447fa6,,ARTESUNATE / SULFAMETHOXYPYRAMIN              ,ARTESUNATE / SULFAMETHOXYPYRAMIN              ,ARTESUNATE / SULFAMETHOXYPYRAMIN              ,ARTESUNATE / SULFAMETHOXYPYRAMIN              ,Drug,N/A,,
475c6f80-4d48-46ea-95ef-84c5acd9f9a5,,ARTESUNATE / SULFAMETHOXYPYRAMIN                  ,ARTESUNATE / SULFAMETHOXYPYRAMIN                  ,ARTESUNATE / SULFAMETHOXYPYRAMIN                  ,ARTESUNATE / SULFAMETHOXYPYRAMIN                  ,Drug,N/A,,
f3240d07-1b02-4bcd-b029-bb5de3ba4dd5,,CANDÉSARTAN                                                                    ,CANDÉSARTAN                                                                    ,CANDÉSARTAN                                                                    ,CANDÉSARTAN                                                                    ,Drug,N/A,,
411353b3-08b5-4417-ae4b-6c23bd4737af,,CANDÉSARTAN                                                                 ,CANDÉSARTAN                                                                 ,CANDÉSARTAN                                                                 ,CANDÉSARTAN                                                                 ,Drug,N/A,,
b406420f-6c39-4da1-84b0-11c4be54187b,,HYDROXIZINE                                                       ,HYDROXIZINE                                                       ,HYDROXIZINE                                                       ,HYDROXIZINE                                                       ,Drug,N/A,,
b4d631cd-4101-4059-a6b1-fd1dad426115,,HYDROXYZINE                                                                                   ,HYDROXYZINE                                                                                   ,HYDROXYZINE                                                                                   ,HYDROXYZINE                                                                                   ,Drug,N/A,,
0216fc4a-3faf-461a-8f9c-600e89180037,,HYDROXYZINE                                                                                 ,HYDROXYZINE                                                                                 ,HYDROXYZINE                                                                                 ,HYDROXYZINE                                                                                 ,Drug,N/A,,
ca774583-73b9-4ada-86e8-47bb3d3e98d8,,ATENOLOL                                                                                        ,ATENOLOL                                                                                        ,ATENOLOL                                                                                        ,ATENOLOL                                                                                        ,Drug,N/A,,
4e501ed6-76fa-4919-a890-7876c14bcb66,,ATENOLOL                                                                                       ,ATENOLOL                                                                                       ,ATENOLOL                                                                                       ,ATENOLOL                                                                                       ,Drug,N/A,,
888f6280-f162-4f8d-893e-3e95cdaeebc5,,ATORVASTATINE                                                                                ,ATORVASTATINE                                                                                ,ATORVASTATINE                                                                                ,ATORVASTATINE                                                                                ,Drug,N/A,,
559824dd-4b01-4b38-80b1-4372269a19d3,,ATORVASTATINE                                                                ,ATORVASTATINE                                                                ,ATORVASTATINE                                                                ,ATORVASTATINE                                                                ,Drug,N/A,,
0051b8ff-a5d5-4d08-8262-56218d869e04,,ATORVASTATINE                                                                              ,ATORVASTATINE                                                                              ,ATORVASTATINE                                                                              ,ATORVASTATINE                                                                              ,Drug,N/A,,
8609aad4-697e-4b1e-a1fe-4f7f6453c89a,,ATORVASTATINE,ATORVASTATINE,ATORVASTATINE,ATORVASTATINE,Drug,N/A,,
ae14f25e-13a5-4e04-8fc3-846775722deb,,ATROPINE,ATROPINE,ATROPINE,ATROPINE,Drug,N/A,,
f6197f8f-a75f-4afa-91ad-beb6b86db942,,OXYMETAZOLINE,OXYMETAZOLINE,OXYMETAZOLINE,OXYMETAZOLINE,Drug,N/A,,
626d1cec-b8ea-4400-8de7-a6fc7a661882,,PROPRANOLOL,PROPRANOLOL,PROPRANOLOL,PROPRANOLOL,Drug,N/A,,
2f806aee-12e9-4592-8a73-f692646e42ff,,MÉBENDAZOLE,MÉBENDAZOLE,MÉBENDAZOLE,MÉBENDAZOLE,Drug,N/A,,
60d27e47-210e-4b19-b45f-7b1b03c8d5f7,,RANITIDINE,RANITIDINE,RANITIDINE,RANITIDINE,Drug,N/A,,
b35e87b5-e1d6-4b62-8d16-44c5605eb86b,,AZITHROMYCINE,AZITHROMYCINE,AZITHROMYCINE,AZITHROMYCINE,Drug,N/A,,
571fb207-293e-4a42-bb2f-69afd5ebe1b2,,AZIYTHROMICINE,AZIYTHROMICINE,AZIYTHROMICINE,AZIYTHROMICINE,Drug,N/A,,
2e2b9cc4-8cd1-424b-ab35-5bda8b22b8c2,,BRINZOLAMIDE,BRINZOLAMIDE,BRINZOLAMIDE,BRINZOLAMIDE,Drug,N/A,,
78854fa8-1307-41ba-a7a8-7149b42113dd,,AZITHROMYCINE DIHYDRATE,AZITHROMYCINE DIHYDRATE,AZITHROMYCINE DIHYDRATE,AZITHROMYCINE DIHYDRATE,Drug,N/A,,
b140c001-32f7-4d91-982e-54daf22bd52f,,COMPLEXE VITAMINIQUE  B,COMPLEXE VITAMINIQUE  B,COMPLEXE VITAMINIQUE  B,COMPLEXE VITAMINIQUE  B,Drug,N/A,,
0feaa3f4-e816-44a3-989d-ed2ae6b0a3b6,,BACITRACINE / COLISTINE / HYDROCORTI  ,BACITRACINE / COLISTINE / HYDROCORTI  ,BACITRACINE / COLISTINE / HYDROCORTI  ,BACITRACINE / COLISTINE / HYDROCORTI  ,Drug,N/A,,
a979bfaf-c655-491e-b25f-a3e6c6d337d2,,IMIPÉNÈME                                                      ,IMIPÉNÈME                                                      ,IMIPÉNÈME                                                      ,IMIPÉNÈME                                                      ,Drug,N/A,,
5aeef381-f896-44ae-aca8-c68f6026b366,,CIPROFLOXACINE                                                                           ,CIPROFLOXACINE                                                                           ,CIPROFLOXACINE                                                                           ,CIPROFLOXACINE                                                                           ,Drug,N/A,,
ece16282-4a09-47a1-9af9-410e461d2932,,SULFAMETHOXAZOLE / TRIMETHOPRIME            ,SULFAMETHOXAZOLE / TRIMETHOPRIME            ,SULFAMETHOXAZOLE / TRIMETHOPRIME            ,SULFAMETHOXAZOLE / TRIMETHOPRIME            ,Drug,N/A,,
89d8d63d-eba8-49e2-b8eb-7aa361537bf6,,AMOXICILLINE                                              ,AMOXICILLINE                                              ,AMOXICILLINE                                              ,AMOXICILLINE                                              ,Drug,N/A,,
e66c3898-3735-4a15-a259-add64b5b8b95,,AMOXICILLINE                                                ,AMOXICILLINE                                                ,AMOXICILLINE                                                ,AMOXICILLINE                                                ,Drug,N/A,,
8e743d92-1a62-4b2e-ae54-3d6665b8cdc6,,SULFAMETHOXAZOLE / TRIMETHOPRIM                     ,SULFAMETHOXAZOLE / TRIMETHOPRIM                     ,SULFAMETHOXAZOLE / TRIMETHOPRIM                     ,SULFAMETHOXAZOLE / TRIMETHOPRIM                     ,Drug,N/A,,
ad8aa8e2-6bd5-4031-8f65-4cfec17af1ce,,SULFAMETHOXAZOLE / TRIMETHOPRIM           ,SULFAMETHOXAZOLE / TRIMETHOPRIM           ,SULFAMETHOXAZOLE / TRIMETHOPRIM           ,SULFAMETHOXAZOLE / TRIMETHOPRIM           ,Drug,N/A,,
ff0844a7-a9da-4bc2-996a-24d24416df6d,,SULFAMETHOXAZOLE / TRIMETHOPRIM                   ,SULFAMETHOXAZOLE / TRIMETHOPRIM                   ,SULFAMETHOXAZOLE / TRIMETHOPRIM                   ,SULFAMETHOXAZOLE / TRIMETHOPRIM                   ,Drug,N/A,,
658d60f8-fd7b-44c0-99cf-4ab698351a0b,,COTRIMOXAZOLE                                                                                     ,COTRIMOXAZOLE                                                                                     ,COTRIMOXAZOLE                                                                                     ,COTRIMOXAZOLE                                                                                     ,Drug,N/A,,
56f52298-5295-4109-9291-a48aba1d5365,,MUPIROCINE                                                                              ,MUPIROCINE                                                                              ,MUPIROCINE                                                                              ,MUPIROCINE                                                                              ,Drug,N/A,,
9f1ce4e2-21d8-4674-b2b4-8e65a2426c11,,BROMURE DE CÉTHEXONIUM                                                            ,BROMURE DE CÉTHEXONIUM                                                            ,BROMURE DE CÉTHEXONIUM                                                            ,BROMURE DE CÉTHEXONIUM                                                            ,Drug,N/A,,
96879337-3ca7-4b3e-be84-f18723b30dcf,,BACITRACINE / NEOMYCINE                                                                           ,BACITRACINE / NEOMYCINE                                                                           ,BACITRACINE / NEOMYCINE                                                                           ,BACITRACINE / NEOMYCINE                                                                           ,Drug,N/A,,
440b8ae7-509e-4271-9932-9f9ef8218bdd,,BACITRACINE/ NEOMYCINE                                            ,BACITRACINE/ NEOMYCINE                                            ,BACITRACINE/ NEOMYCINE                                            ,BACITRACINE/ NEOMYCINE                                            ,Drug,N/A,,
811efa31-8665-4fcf-bb0a-848edbc0dd05,,ANTECAVIR                                                                 ,ANTECAVIR                                                                 ,ANTECAVIR                                                                 ,ANTECAVIR                                                                 ,Drug,N/A,,
b11b4172-657c-4642-82de-76e42e0e4b3a,,ANTECAVIR,ANTECAVIR,ANTECAVIR,ANTECAVIR,Drug,N/A,,
60d21d65-b19d-49f3-aa1d-1ebb4e4e6700,,SALICYLATE / MENTHOL,SALICYLATE / MENTHOL,SALICYLATE / MENTHOL,SALICYLATE / MENTHOL,Drug,N/A,,
cffa44ee-5c8e-4340-8ff8-aa0a20ca4ac8,,SALICYLATE D'AMYLE / CAMPHRE,SALICYLATE D'AMYLE / CAMPHRE,SALICYLATE D'AMYLE / CAMPHRE,SALICYLATE D'AMYLE / CAMPHRE,Drug,N/A,,
cddc1c10-3578-4b01-bae3-396bbc53aa1a,,CEFOTAXIM,CEFOTAXIM,CEFOTAXIM,CEFOTAXIM,Drug,N/A,,
3733d3c6-1b5a-4f2c-a481-e14b72850ea8,,BECLOMETHAZONE,BECLOMETHAZONE,BECLOMETHAZONE,BECLOMETHAZONE,Drug,N/A,,
ef68bd31-5027-4ca6-bc88-6f7af020a5cb,,BEIDELLITIC MONTMORILLONITE,BEIDELLITIC MONTMORILLONITE,BEIDELLITIC MONTMORILLONITE,BEIDELLITIC MONTMORILLONITE,Drug,N/A,,
